"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"TPNL","3PEA International, Inc.","7.95","371518700.4","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/tpnl",
"ACTG","Acacia Research Corporation","3.26","161851479.18","n/a","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/actg",
"ACN","Accenture plc","176.02","112271290379.56","n/a","2001","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/acn",
"AKAM","Akamai Technologies, Inc.","71.71","11703968159.87","n/a","1999","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/akam",
"BABA","Alibaba Group Holding Limited","182.45","472944017872.1","n/a","2014","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/baba",
"ALJJ","ALJ Regional Holdings, Inc.","1.6","60842296","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/aljj",
"ADS","Alliance Data Systems Corporation","174.98","9273534921.3","n/a","2001","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ads",
"ARTX","Arotech Corporation","2.93","77948527.49","n/a","1994","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/artx",
"ATKR","Atkore International Group Inc.","21.53","989959540.63","n/a","2016","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/atkr",
"RILY","B. Riley Financial, Inc.","16.69","444722457.67","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rily",
"RILYG","B. Riley Financial, Inc.","24.51","0","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rilyg",
"RILYH","B. Riley Financial, Inc.","25.93","0","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rilyh",
"RILYI","B. Riley Financial, Inc.","25.33","0","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rilyi",
"RILYL","B. Riley Financial, Inc.","25.4934","0","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rilyl",
"RILYZ","B. Riley Financial, Inc.","25.125","0","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rilyz",
"BTN","Ballantyne Strong, Inc","1.75","25361157.5","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/btn",
"BKNG","Booking Holdings Inc.","1744.91","78543153979.75","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/bkng",
"BOXL","Boxlight Corporation","3.2","33190662.4","n/a","2017","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/boxl",
"BFAM","Bright Horizons Family Solutions Inc.","127.11","7365852138.84","n/a","2013","Miscellaneous","Other Consumer Services","https://www.nasdaq.com/symbol/bfam",
"BR","Broadridge Financial Solutions, Inc.","103.69","11994939870.82","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/br",
"BSQR","BSQUARE Corporation","1.95","24918704.85","n/a","1999","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/bsqr",
"CAE","CAE Inc","22.15","5877314845.2","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cae",
