"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AIRT","Air T, Inc.","30.19","61114552.89","n/a","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/airt",
"ATSG","Air Transport Services Group, Inc","23.05","1368048064.3","n/a","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/atsg",
"ALK","Alaska Air Group, Inc.","56.12","6909292929.2","n/a","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/alk",
"ALGT","Allegiant Travel Company","129.47","2107905989.86","n/a","2006","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/algt",
"AAL","American Airlines Group, Inc.","31.76","14262004204.48","n/a","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/aal",
"ARCB","ArcBest Corporation","30.79","786324072.26","n/a","n/a","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/arcb",
"ASC","Ardmore Shipping Corporation","6.16","203882638.96","n/a","2013","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/asc",
"AAWW","Atlas Air Worldwide Holdings","50.56","1301868833.28","n/a","n/a","Transportation","Transportation Services","https://www.nasdaq.com/symbol/aaww",
"AVH","Avianca Holdings S.A.","4.0973","512832367.577","n/a","2013","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/avh",
"AZUL","Azul S.A.","29.21","3297657195.63","n/a","2017","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/azul",
"BEST","BEST Inc.","5.23","2025056000","n/a","2017","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/best",
"BCO","Brink&#39;s Company (The)","75.41","3748255784.43","n/a","n/a","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/bco",
"BRS","Bristow Group Inc","1.11","39735985.35","n/a","n/a","Transportation","Transportation Services","https://www.nasdaq.com/symbol/brs",
"CHRW","C.H. Robinson Worldwide, Inc.","86.99","11904904232.9","n/a","1997","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/chrw",
"CNI","Canadian National Railway Company","89.48","64880487865.36","n/a","n/a","Transportation","Railroads","https://www.nasdaq.com/symbol/cni",
"CP","Canadian Pacific Railway Limited","206.03","28818051496.52","n/a","n/a","Transportation","Railroads","https://www.nasdaq.com/symbol/cp",
"CPLP","Capital Product Partners L.P.","10.48","190506477.52","n/a","2007","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/cplp",
"CTRM","Castor Maritime Inc.","5.4701","0","n/a","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/ctrm",
"CEA","China Eastern Airlines Corporation Ltd.","34.36","9942124858.68","n/a","1997","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/cea",
"ZNH","China Southern Airlines Company Limited","43.52","10677346726.4","n/a","1997","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/znh",
"VLRS","Controladora Vuela Compania de Aviacion, S.A.B. de C.V.","8.52","849882856.68","n/a","2013","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/vlrs",
"CPA","Copa Holdings, S.A.","80.61","3401366276.79","n/a","2005","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/cpa",
"CAAP","Corporacion America Airports SA","8.27","1323384106.74","n/a","2018","Transportation","Aerospace","https://www.nasdaq.com/symbol/caap",
"CMRE","Costamare Inc.","5.2","589814607.2","n/a","2010","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/cmre",
"CVTI","Covenant Transportation Group, Inc.","18.98","348634376.74","n/a","1994","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/cvti",
"CYRX","CryoPort, Inc.","12.92","393237280.24","n/a","n/a","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/cyrx",
"CYRXW","CryoPort, Inc.","9.5","0","n/a","n/a","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/cyrxw",
"CSX","CSX Corporation","74.82","60805221662.34","n/a","n/a","Transportation","Railroads","https://www.nasdaq.com/symbol/csx",
"DAC","Danaos Corporation","0.8845","188685480.4475","n/a","2006","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/dac",
"DAL","Delta Air Lines, Inc.","51.65","35067772561.7","n/a","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/dal",
"DHT","DHT Holdings, Inc.","4.46","634370040.1","n/a","2005","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/dht",
"DSX","Diana Shipping inc.","2.82","298255469.82","n/a","2005","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/dsx",
"LPG","Dorian LPG Ltd.","6.42","354237566.22","n/a","2014","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/lpg",
"DRYS","DryShips Inc.","4.62","401416216.74","n/a","2005","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/drys",
"EGLE","Eagle Bulk Shipping Inc.","4.65","340311105.6","n/a","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/egle",
"ECHO","Echo Global Logistics, Inc.","24.78","689333583.54","n/a","2009","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/echo",
"ERA","Era Group, Inc.","11.54","251455145.96","n/a","n/a","Transportation","Transportation Services","https://www.nasdaq.com/symbol/era",
"EURN","Euronav NV","8.15","1784705728.7","n/a","2015","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/eurn",
"ESEA","Euroseas Ltd.","0.7003","7895270.4378","n/a","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/esea",
"EXPD","Expeditors International of Washington, Inc.","75.9","13043937723.3","n/a","n/a","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/expd",
"FDX","FedEx Corporation","181.41","47270840362.92","n/a","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/fdx",
"FWRD","Forward Air Corporation","64.73","1865851506.39","n/a","n/a","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/fwrd",
"FRO","Frontline Ltd.","6.46","1097044900.32","n/a","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/fro",
"GNK","Genco Shipping & Trading Limited ","7.46","310672281.88","n/a","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/gnk",
