"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ADTN","ADTRAN, Inc.","13.7","654545489.1","n/a","1994","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/adtn",
"ADSW","Advanced Disposal Services, Inc.","28","2483385744","n/a","2016","Public Utilities","Environmental Services","https://www.nasdaq.com/symbol/adsw",
"AKTS","Akoustis Technologies, Inc.","5.81","173795709.43","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/akts",
"ALSK","Alaska Communications Systems Group, Inc.","1.92","102274235.52","n/a","1999","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/alsk",
"AQN","Algonquin Power & Utilities Corp.","11.27","5527836331.15","n/a","2016","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/aqn",
"AQNA","Algonquin Power & Utilities Corp.","27","0","n/a","2018","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/aqna",
"ALE","Allete, Inc.","82.23","4244802724.08","n/a","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/ale",
"LNT","Alliant Energy Corporation","47.13","11126190006.75","n/a","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/lnt",
"ALTM","Altus Midstream Company","5.9","1917082899.5","n/a","2017","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/altm",
"AEE","Ameren Corporation","73.55","18050561639.55","n/a","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/aee",
"AMOV","America Movil, S.A.B. de C.V.","14.27","47107805693.38","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/amov",
"AMX","America Movil, S.A.B. de C.V.","14.28","47140817470.32","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/amx",
"AEP","American Electric Power Company, Inc.","83.75","42661207982.5","n/a","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/aep",
"AMID","American Midstream Partners, LP","5.17","279442708.38","n/a","2011","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/amid",
"AWR","American States Water Company","71.3","2622000816.5","n/a","n/a","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/awr",
"AWK","American Water Works","104.26","18820083949.68","n/a","2008","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/awk",
"AM","Antero Midstream Corporation","13.78","4988164944.1","n/a","2017","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/am",
"WTR","Aqua America, Inc.","36.44","6499538719.32","n/a","n/a","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/wtr",
"WAAS","AquaVenture Holdings Limited","19.35","521119203.75","n/a","2016","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/waas",
"AROC","Archrock, Inc.","9.78","1275453203.64","n/a","n/a","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/aroc",
"ARTNA","Artesian Resources Corporation","37.27","312063238.07","n/a","n/a","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/artna",
"T","AT&T Inc.","31.36","228621829403.52","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/t",
"TBB","AT&T Inc.","25.38","0","n/a","2017","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/tbb",
"TBC","AT&T Inc.","25.49","0","n/a","2018","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/tbc",
"ATTO","Atento S.A.","3.61","272216948.77","n/a","2014","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/atto",
"AY","Atlantica Yield plc","19.46","1950227879.6","n/a","2014","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/ay",
"ATO","Atmos Energy Corporation","102.93","12031348332.78","n/a","n/a","Public Utilities","Oil/Gas Transmission","https://www.nasdaq.com/symbol/ato",
"ATNI","ATN International, Inc.","56.39","902428624.55","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/atni",
"AUDC","AudioCodes Ltd.","13.84","406167213.28","n/a","1999","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/audc",
"AWX","Avalon Holdings Corporation","2.58","9998611.98","n/a","n/a","Public Utilities","Environmental Services","https://www.nasdaq.com/symbol/awx",
"AGR","Avangrid, Inc.","50.35","15558415445.2","n/a","2015","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/agr",
"AVYA","Avaya Holdings Corp.","16.83","1863005652.09","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/avya",
